,Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments
0,1,tseries,Entertainment,"249,500,000",IN,"86,200","2,700",78
1,2,MrBeast,Entertainment,"183,500,000",US,"117,400,000","5,300,000","18,500"
2,3,CoComelon,Music,"165,500,000",US,"7,000,000","24,700",0
3,4,SETIndia,Entertainment,"162,600,000",IN,"15,600",166,9
4,5,KidsDianaShow,Hobby,"113,500,000",US,"3,900,000","12,400",0
5,6,PewDiePie,Action_game,"111,500,000",JP,"2,400,000","197,300","4,900"
6,7,LikeNastyaofficial,Lifestyle_(sociology),"107,500,000",US,"2,600,000","28,000",0
7,8,VladandNiki,Hobby,"101,400,000",US,"4,100,000","22,100",0
8,9,zeemusiccompany,Music_of_Asia,"99,700,000",IN,"74,300","2,600",32
9,10,WWE,Entertainment,"97,200,000",US,"184,500","6,300",214
10,11,BLACKPINK,Music,"91,300,000",KR,"863,200","146,900","3,400"
11,12,GoldminesTelefilms,Entertainment,"89,700,000",IN,"34,600",421,13
12,13,SonySAB,Film,"85,400,000",IN,"35,500",615,21
13,14,5MinuteCraftsYouTube,Lifestyle_(sociology),"80,300,000",US,"164,600",703,35
14,15,BTS,Music,"76,500,000",KR,"969,700","180,300","7,400"
15,16,HYBELABELS,Pop_music,"72,700,000",KR,"440,700","23,900",932
16,17,zeetv,Entertainment,"72,500,000",IN,"7,300",144,1
17,18,Pinkfong,Entertainment,"69,600,000",US,"506,400",397,0
18,19,ChuChuTV,Film,"67,500,000",IN,"652,100","17,800",0
19,20,KondZilla,Hip_hop_music,"66,600,000",BR,"30,400","1,100",4
20,21,colorstv,Entertainment,"66,600,000",IN,"14,700",413,3
21,22,filmigaane,Music,"66,400,000",IN,"33,000",392,18
22,23,TSeriesBhaktiSagar,Music_of_Asia,"62,600,000",IN,"24,900",983,35
23,24,tipsofficial,Music_of_Asia,"60,900,000",IN,"80,200",935,22
24,25,MOVIECLIPS,Film,"59,900,000",US,"16,600",231,9
25,26,ElReinoInfantil,Entertainment,"59,700,000",AR,"393,000","2,600",0
26,27,dudeperfect,Lifestyle_(sociology),"59,700,000",US,"5,300,000","156,500","4,200"
27,28,aajtak,Society,"58,900,000",IN,"7,600",229,4
28,29,WaveMusicIndia,Music,"58,700,000",IN,"36,600",792,54
29,30,SonyMusicIndia,Music_of_Asia,"57,900,000",IN,"26,300",964,21
30,31,marshmello,Music,"56,700,000",US,"145,900","8,900",167
31,32,yrf,Film,"55,700,000",IN,"60,300","2,100",33
32,33,infobellshindirhymes,Film,"55,700,000",IN,"1,200,000","34,700",0
33,34,LooLooKids,Music,"54,800,000",US,"595,600","2,700",0
34,35,TaylorSwift,Music,"54,100,000",US,"4,300,000","300,400","15,000"
35,36,EdSheeran,Pop_music,"53,700,000",GB,"144,200","10,200",345
36,37,BillionSurpriseToys,Film,"53,100,000",US,"1,600,000",0,0
37,38,ArianaGrande,Pop_music,"52,900,000",US,"1,100,000","85,800","3,800"
38,39,shemaroo,Television_program,"48,800,000",IN,"22,600",163,7
39,40,JuegaGerman,Video_game_culture,"48,600,000",CL,"2,000,000","117,100","3,000"
40,41,BillieEilish,Pop_music,"48,600,000",US,"208,100","27,200",476
41,42,getmovies,Film,"48,100,000",RU,"55,700",329,0
42,43,sonymusicindiaVEVO,Music_of_Asia,"47,500,000",IN,"36,600",664,28
43,44,A4a4a4a4,Lifestyle_(sociology),"47,300,000",BY,"9,700,000","330,400","22,000"
44,45,badabunOficial,Lifestyle_(sociology),"47,000,000",MX,"6,800",260,4
